date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:00:47	14355/14355	---M-Z	200	added ('OK')	application/javascript	etag:%225fe182ae-3813%22	https://cdnjs.cloudflare.com/ajax/libs/axios/0.21.1/axios.min.js	C:/Users/thanh/Desktop/alphasdsasd/Test/cdnjs.cloudflare.com/ajax/libs/axios/0.21.1/axios.min.js	(from https://mc-blaze.com/)
09:00:48	10662/10662	---M-Z	200	added ('OK')	application/javascript	etag:%225eb03e29-29a6%22	https://cdnjs.cloudflare.com/ajax/libs/clipboard.js/2.0.0/clipboard.min.js	C:/Users/thanh/Desktop/alphasdsasd/Test/cdnjs.cloudflare.com/ajax/libs/clipboard.js/2.0.0/clipboard.min.js	(from https://mc-blaze.com/)
09:00:48	10536/10536	---MCZ	200	added ('OK')	application/javascript	etag:W/%222928-17febd1bbc0%22	https://mc-blaze.com/assets/built/ndzn.js?v=b13c5aa825	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/assets/built/ndzn4652.js	(from https://mc-blaze.com/)
09:00:49	222970/222970	---M--	200	added ('OK')	image/png	etag:W/%22366fa-17febd1bbbf%22	https://mc-blaze.com/assets/images/background.png	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/assets/images/background.png	(from https://mc-blaze.com/assets/built/main.css?v=b13c5aa825)
09:00:49	193111/193111	---M--	200	added ('OK')	image/png	etag:W/%222f257-17febd1bbbf%22	https://mc-blaze.com/assets/images/logo-big.png	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/assets/images/logo-big.png	(from https://mc-blaze.com/assets/built/main.css?v=b13c5aa825)
09:00:50	15075/15075	---M--	200	added ('OK')	image/png	etag:%22e33e6a99680347cda41fdb708de8c790%22	https://i.imgur.com/YPZaTKk.png	C:/Users/thanh/Desktop/alphasdsasd/Test/i.imgur.com/YPZaTKk.png	(from https://mc-blaze.com/assets/built/main.css?v=b13c5aa825)
09:00:50	26985/26985	---M-Z	200	added ('OK')	application/javascript	etag:W/%226969-PYk6WU7wXAXPX7qrRZSTVytMicQ%22	https://cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	C:/Users/thanh/Desktop/alphasdsasd/Test/cdn.jsdelivr.net/gh/alpinejs/alpine@v2.x.x/dist/alpine.min.js	(from https://mc-blaze.com/vote/)
09:00:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:28%20GMT	https://mc-blaze.com/vote	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/vote	(from https://mc-blaze.com/vote/)
09:00:51	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:28%20GMT	https://mc-blaze.com/staff	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/staff	(from https://mc-blaze.com/vote/)
09:00:52	28990/28990	---MCZ	200	added ('OK')	application/javascript	etag:W/%22713e-18268e4c780%22	https://tally.so/widgets/embed.js	C:/Users/thanh/Desktop/alphasdsasd/Test/tally.so/widgets/embed.js	(from https://mc-blaze.com/staff/)
09:00:52	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:29%20GMT	https://mc-blaze.com/vote	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/vote	(from https://mc-blaze.com/staff/)
09:00:53	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:30%20GMT	https://mc-blaze.com/staff	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/staff	(from https://mc-blaze.com/staff/)
09:00:54	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:32%20GMT	https://mc-blaze.com/rules	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/rules	(from https://mc-blaze.com/how-to-play/)
09:00:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:32%20GMT	https://mc-blaze.com/vote	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/vote	(from https://mc-blaze.com/how-to-play/)
09:00:55	1729601/1729601	---M--	200	added ('OK')	image/png	etag:W/%221a6441-17fd316f69e%22	https://mc-blaze.com/content/images/size/w2000/2022/03/2020-07-01_02.22.22.png	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/content/images/size/w2000/2022/03/2020-07-01_02.22.22.png	(from https://mc-blaze.com/how-to-play/)
09:00:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:32%20GMT	https://mc-blaze.com/staff	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/staff	(from https://mc-blaze.com/how-to-play/)
09:00:55	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Sun,%2007%20Aug%202022%2002:00:32%20GMT	https://mc-blaze.com/pixelmon-rules	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/pixelmon-rules	(from https://mc-blaze.com/rules/)
09:00:56	25966/25966	---MCZ	200	added ('OK')	text/html	date:Sun,%2007%20Aug%202022%2002:00:33%20GMT	https://mc-blaze.com/pixelmon-rules/	C:/Users/thanh/Desktop/alphasdsasd/Test/mc-blaze.com/pixelmon-rules/index.html	(from https://mc-blaze.com/rules/)
